created_at,hashtags,favorite_count,id,lang,retweet_count,reweet_id,retweet_screen_name,text,tweet_url,user_screen_name,user_followers_count,user_friends_count,user_location,user_verified
Thu Apr 23 22:48:06 +0000 2020,,0,1253455638425993218,en,23,1253419905539379204,SADVTC,"RT @SADVTC: ""Violence against women is as old as time itself, but as a society we can do better in supporting abused women by heeding the l",https://twitter.com/ed4socialchange/status/1253455638425993218,ed4socialchange,1718,440,"Toronto, Canada",false
Thu Apr 23 22:48:11 +0000 2020,,0,1253455658839498752,en,5,1253453706659532805,george12378430,"RT @george12378430: Exactly , https://t.co/pAB5XE00io",https://twitter.com/Markfry809/status/1253455658839498752,Markfry809,34656,32431,Vancouver ,false
Thu Apr 23 22:48:15 +0000 2020,,0,1253455675474284545,en,6438,1253447919551885314,abbydphillip,"RT @abbydphillip: Wow Trump just suggested  getting rid of coronavirus by bringing ""light inside the body"" ... ""either through the skin or",https://twitter.com/ElegantBW/status/1253455675474284545,ElegantBW,823,1878,"Toronto, Ontario",false
Thu Apr 23 22:48:17 +0000 2020,,0,1253455684248768517,en,6179,1253451980090994688,JustinTrudeau,"RT @JustinTrudeau: Wishing a blessed Ramadan to Muslims observing the month at home this year. By coming together virtually, well be able",https://twitter.com/AdeleAndMike/status/1253455684248768517,AdeleAndMike,156,491,"Montreal, Quebec Canada",false
Thu Apr 23 22:48:18 +0000 2020,,0,1253455688023437313,en,1,1253455601230725120,albertaNDP,RT @albertaNDP: A worker from Cargill has died as a result of COVID-19. A JBS employee also died as a result of COVID-19.,https://twitter.com/UncleRee1/status/1253455688023437313,UncleRee1,4691,2153,"Calgary, AB",false
Thu Apr 23 22:48:18 +0000 2020,,0,1253455688392749058,en,1188,1253454482618429443,Yamiche,RT @Yamiche: President Trump is lashing out @PhilipRucker and calling him fake news after Rucker asks questions about Trump urging Bill Bry,https://twitter.com/DCLascelle/status/1253455688392749058,DCLascelle,1424,2619,"Gatineau, Quebec",false
Thu Apr 23 22:48:20 +0000 2020,,0,1253455696428851200,en,22964,1253296736589807619,realDonaldTrump,RT @realDonaldTrump: Please study this closely. We saved many lives with our fast action on CoronaVirus!,https://twitter.com/RealTobiloba20/status/1253455696428851200,RealTobiloba20,1060,939,"Alberta, Canada",false
Thu Apr 23 22:48:29 +0000 2020,,0,1253455734433550340,en,5570,1253435321846382593,funder,RT @funder: GOP consultant just told me Trump is trying to golf on Saturday at his Virginia course. Hes apparently going to try and use th,https://twitter.com/Lostintheright1/status/1253455734433550340,Lostintheright1,5889,6284,"Ontario, Canada",false
Thu Apr 23 22:48:38 +0000 2020,,0,1253455772001767424,en,353,1253444615232946178,lomikriel,"RT @lomikriel: ""This is perhaps the first global crisis in more than a century where no one is even looking to the United States for leader",https://twitter.com/bengalexfx/status/1253455772001767424,bengalexfx,1202,1608,"Alberta, Canada",false
Thu Apr 23 22:48:42 +0000 2020,,0,1253455788376350721,en,771,1253452680548233216,MZHemingway,RT @MZHemingway: Barr calls stay-at-home orders 'unprecedented burdens on civil liberties' https://t.co/nN3E4Gm1r4,https://twitter.com/wjdjean/status/1253455788376350721,wjdjean,2431,3423,"Alberta, Canada",false
Thu Apr 23 22:48:42 +0000 2020,Canadians stayathome Occupationaltherapists,0,1253455788749643777,en,6,1253370857096953860,COTFFCE,RT @COTFFCE: #Canadians at home are experiencing disruptions to their normal routine by being asked to #stayathome. #Occupationaltherapists,https://twitter.com/UBCOSOT/status/1253455788749643777,UBCOSOT,1349,490,"Vancouver, British Columbia ",false
Thu Apr 23 22:48:48 +0000 2020,,0,1253455814393618432,en,9,1253447277600927744,EmilyLazatin,"RT @EmilyLazatin: Dr. Bonnie Henry says if we expand our circle in the future, we have to do that thoughtfully. We have to be aware who may",https://twitter.com/SuzyPatrick/status/1253455814393618432,SuzyPatrick,3555,1478,"Vancouver, British Columbia",false
Thu Apr 23 22:48:50 +0000 2020,COVID19,0,1253455821842849799,en,9224,1253455323328905218,NCDCgov,"RT @NCDCgov: 108 new cases of #COVID19 have been reported;

78 in Lagos
14 in FCT
5 in Ogun
4 in Gombe
3 Borno
2 in Akwa Ibom
1 in Kwara
1",https://twitter.com/EmmanuelPowers6/status/1253455821842849799,EmmanuelPowers6,42,50,"Winnipeg, Manitoba",false
Thu Apr 23 22:48:51 +0000 2020,COVID19,0,1253455826506838016,en,55,1253435568240734211,CPHO_Canada,"RT @CPHO_Canada: 2/9 Nevertheless, today is a great day to consider the progress weve made in better understanding #COVID19. There are sti",https://twitter.com/johangreg/status/1253455826506838016,johangreg,3458,1269,"Calgary, Alberta",false
Thu Apr 23 22:48:54 +0000 2020,stayhome,0,1253455839165284353,en,15,1253436692146597889,stratfest,"RT @stratfest: #stayhome with us tonight and join our King Lear viewing party! 

6:30pm ET: Pre-show interview with Colm Feore and director",https://twitter.com/brightestcolour/status/1253455839165284353,brightestcolour,166,229,"Hamilton, ON",false
Thu Apr 23 22:49:02 +0000 2020,,0,1253455872262647810,en,223,1253453796975378432,B52Malmet,"RT @B52Malmet: Trump says he may extend coronavirus social distancing guidelines to early summer. He may, or he may not. Hell decide. We a",https://twitter.com/CharmaxHutt/status/1253455872262647810,CharmaxHutt,3592,3655,"Brockville, Ontario",false
Thu Apr 23 22:49:03 +0000 2020,IStandWithDrTam,0,1253455876230451201,en,81,1253431858727022593,TabathaSouthey,"RT @TabathaSouthey: That is some cool shade. Hot damn, #IStandWithDrTam. Sloan is just an (embarrassing) noise.",https://twitter.com/mikey_hax/status/1253455876230451201,mikey_hax,14,320,"Toronto, Ontario",false
Thu Apr 23 22:49:06 +0000 2020,,0,1253455889715077120,en,132,1253423026051244033,freezerohedge,RT @freezerohedge: Renowned Microbiologist Claims Wuhan Lab 'Did Absolutely Crazy Things' With Coronavirus  https://t.co/NpiwCWwUtb,https://twitter.com/gpuri/status/1253455889715077120,gpuri,190,212,"Toronto, Ontario",false
Thu Apr 23 22:49:07 +0000 2020,,0,1253455893326266368,en,17,1253454658816937984,Ornge,"RT @Ornge: As of April 21, Ornge has completed 209 transports of confirmed or suspected COVID-19 patients. 

Learn more about our response",https://twitter.com/HerosofCanada/status/1253455893326266368,HerosofCanada,3026,2108,"Alberta, Canada",false
Thu Apr 23 22:49:14 +0000 2020,quote QuarantineLife,0,1253455922497835009,en,1,1253385021907447808,IamAlarica,RT @IamAlarica: Best #quote I've come across: Bread is like the sun; it rises in the yeast and sets in the waist #QuarantineLife,https://twitter.com/sandramergulhao/status/1253455922497835009,sandramergulhao,1140,1029,"Toronto, Canada",false
Thu Apr 23 22:49:16 +0000 2020,,0,1253455932098560002,en,46,1253439625315655686,RyanMarino,RT @RyanMarino: Is science illiteracy a symptom of COVID19?,https://twitter.com/SciencePharmer/status/1253455932098560002,SciencePharmer,2922,3477,"Ontario, Canada",false
Thu Apr 23 22:49:23 +0000 2020,,0,1253455961332670464,en,2,1253455279703781378,cbcnewsbc,RT @cbcnewsbc: Why men are more likely to have COVID-19? Dr. Henry says the difference could be in how immune system works; phenomenon wer,https://twitter.com/smcenturff/status/1253455961332670464,smcenturff,1987,1093,"Vancouver, British Columbia",false
Thu Apr 23 22:49:27 +0000 2020,,0,1253455977757605888,en,4028,1253143007060209664,BrunsCrew,"RT @Brunwatching: In KC today a nurse of 40 yrs, due to retire next week from m Research Med center dies of COVID 19 after caring for COVID",https://twitter.com/ONDPwomen/status/1253455977757605888,ONDPwomen,1529,1726,"Ontario, Canada",false
Thu Apr 23 22:49:33 +0000 2020,,0,1253456002139054080,en,7920,1253451487415619586,joshtpm,RT @joshtpm: After hearing presentation President Trump suggests irradiating people's bodies with UV light or injecting them with bleach or,https://twitter.com/timmerpeg/status/1253456002139054080,timmerpeg,1074,1952,Winnipeg,false
Thu Apr 23 22:49:38 +0000 2020,NEW onted COVID19,0,1253456023576248325,en,209,1253454895572795393,Travisdhanraj,RT @Travisdhanraj: #NEW: Education Minister @Sflecce will provide clarity on the future of the school year early next week #onted #COVID19,https://twitter.com/doraned66/status/1253456023576248325,doraned66,197,1879,"Toronto, Ontario",false
Thu Apr 23 22:49:37 +0000 2020,Fauci coronavirus,0,1253456019398651904,en,172,1253453450832228353,DrDenaGrayson,RT @DrDenaGrayson: @realDonaldTrump on #Faucis comments that #coronavirus testing is not where it needs to be: If he said that I dont,https://twitter.com/SaanichGuy/status/1253456019398651904,SaanichGuy,8356,9039,"Saanich, BC, Canada",false
Thu Apr 23 22:49:38 +0000 2020,,0,1253456023525814272,en,1,1253038388808204292,Sagen,RT @GenworthCanada: Were committed to providing ongoing information and support to customers impacted by COVID-19. Here are some helpful t,https://twitter.com/AlfredoCarrete/status/1253456023525814272,AlfredoCarrete,116,147,"Vancouver, BC",false
Thu Apr 23 22:49:39 +0000 2020,,0,1253456028051505154,en,3,1253454219086004224,Mark__Brandon,RT @Mark__Brandon: Get ready to see cargo Q400s! Wow!,https://twitter.com/gary_prime/status/1253456028051505154,gary_prime,259,443,"Wet Coast, BC, Canada",false
Thu Apr 23 22:49:44 +0000 2020,,0,1253456048905650176,en,10,1253420096426397708,regionofpeel,"RT @regionofpeel: COVID-19 affects us all. For some, self-isolating is more challenging than for others. Peel is partnering with @NaheedD @",https://twitter.com/RegenBrampton/status/1253456048905650176,RegenBrampton,763,217,"Brampton, On",false
Thu Apr 23 22:49:52 +0000 2020,,0,1253456082397130754,en,22,1253370389327237120,CTVVancouver,"RT @CTVVancouver: Students at the University of British Columbia say they've designed a ""simple, low-cost"" ventilator that could save lives",https://twitter.com/yvarcade/status/1253456082397130754,yvarcade,2104,2117,"Vancouver, BC",false
Thu Apr 23 22:49:56 +0000 2020,StayHome WorldBookDay,0,1253456099115663362,en,12,1253408159877734407,Carolyn_Bennett,"RT @Carolyn_Bennett: While we #StayHome, we have the opportunity to learn and explore new ideas through books. 

Today is #WorldBookDay and",https://twitter.com/Venilia13/status/1253456099115663362,Venilia13,49,208,"Ontario, Canada",false
Thu Apr 23 22:50:12 +0000 2020,COVID19,0,1253456165834575872,en,18,1253436469709955073,Sunnybrook,RT @Sunnybrook: A trial co-led by Sunnybrook is now enrolling septic #COVID19 patients to evaluate whether intravenous vitamin C could help,https://twitter.com/fedeangriman/status/1253456165834575872,fedeangriman,204,242,"Toronto, Ontario",false
Thu Apr 23 22:50:17 +0000 2020,,0,1253456187389030401,en,56,1253218225501896705,teunoias,RT @teunoias: Only Toronto girls still meeting up for fights during a pandemic,https://twitter.com/HoneySmma/status/1253456187389030401,HoneySmma,191,265,"Toronto, Ontario",false
Thu Apr 23 22:50:21 +0000 2020,,0,1253456203524366341,en,5,1253448117388578816,cindyeharnett,"RT @cindyeharnett: ""Now is not the time to tip the scales against us with careless action, it's the time for patience, and for resilience,",https://twitter.com/MrMikeDevlin/status/1253456203524366341,MrMikeDevlin,1327,1024,"Victoria, BC",false
Thu Apr 23 22:50:23 +0000 2020,,0,1253456212831670272,en,105,1253455606024986626,anyaparampil,"RT @anyaparampil: Opposition economist @frrodriguezc proposed @jguaido use the countrys US-based $$ to assist Venezuelan migrants

Guaid",https://twitter.com/ledrapeaurouge/status/1253456212831670272,ledrapeaurouge,4238,2473,"Toronto, Ontario",false
Thu Apr 23 22:50:29 +0000 2020,,0,1253456237322272768,en,198,1253392256385593344,CNN,RT @CNN: Dr. Rick Bright's decision to go public about his ouster is exposing months of turmoil inside one of the key divisions at the Depa,https://twitter.com/ajuranowski/status/1253456237322272768,ajuranowski,36,264,"Whitby, Ontario",false
Thu Apr 23 22:50:31 +0000 2020,,0,1253456245442392064,en,60108,1253320345605398532,oyinlolu_a,RT @hoyeengurl: Me at the first restaurant I step into after this lockdown  https://t.co/HHijc5VAJ7,https://twitter.com/kenzietwarren/status/1253456245442392064,kenzietwarren,132,113,"Toronto, Ontario",false
Thu Apr 23 22:50:31 +0000 2020,,0,1253456245786378240,en,17,1253433890586259458,m_layton,"RT @m_layton: We need better public transit, not less. https://t.co/mISH5uHOZk",https://twitter.com/MichaelPolanyi/status/1253456245786378240,MichaelPolanyi,1518,162,"Toronto, Ontario",false
Thu Apr 23 22:50:34 +0000 2020,,0,1253456258482548736,en,222,1253099910620119042,tylerwatt90,RT @tylerwhat16: @DerekSloanCPC Conservative Leader Candidate Derek Sloan says he is disgusted with how Prime Minister Trudeau has handle,https://twitter.com/MPaulwall/status/1253456258482548736,MPaulwall,1,23,"Toronto, Ontario",false
Thu Apr 23 22:50:34 +0000 2020,SharonWeinberger,0,1253456258209927170,en,2539,1253446922075062272,ChanelRion,"RT @ChanelRion: Good job, #SharonWeinberger for breaking this story almost one week ago! 

Details confirmed by DHS Director of Science and",https://twitter.com/sarahAstor2/status/1253456258209927170,sarahAstor2,2477,3163,"Ontario, Canada",false
Thu Apr 23 22:50:33 +0000 2020,,0,1253456254112010241,en,128,1253454750873419781,CBSNews,"RT @CBSNews: Phunware, a data firm for Trump campaign, got millions in coronavirus small business help https://t.co/U3Q64SsjFN https://t.co",https://twitter.com/tomcox60/status/1253456254112010241,tomcox60,674,1680,"Ontario, Canada",false
Thu Apr 23 22:50:35 +0000 2020,COVID19,0,1253456263075131393,en,71,1253360376646963201,CPAC_TV,"RT @CPAC_TV: #COVID19 update from Dr. Theresa Tam, Canada's chief public health officer (as of April 23 at noon):

40,190 cases, 1,974 dea",https://twitter.com/AFitieh/status/1253456263075131393,AFitieh,44,271,"Edmonton, Alberta, Canada",false
Thu Apr 23 22:50:35 +0000 2020,,0,1253456263373107208,en,3,1253455441721466881,malonebarry,RT @malonebarry: This is being broadcast live to the nation by major news organisations. https://t.co/TEB6bpkOTc,https://twitter.com/DCLascelle/status/1253456263373107208,DCLascelle,1424,2619,"Gatineau, Quebec",false
Thu Apr 23 22:50:37 +0000 2020,UofT,0,1253456270805422081,en,3,1253338597823934464,SocResearchUT,RT @SocResearchUT: #UofT Sociology Prof Joe Hermer: Ontario's Safe Streets Act will cost lives amid the coronavirus pandemic https://t.co/Y,https://twitter.com/jessfields/status/1253456270805422081,jessfields,1300,1335,"Toronto, Ontario",false
Thu Apr 23 22:50:36 +0000 2020,,0,1253456267001069574,en,6179,1253451980090994688,JustinTrudeau,"RT @JustinTrudeau: Wishing a blessed Ramadan to Muslims observing the month at home this year. By coming together virtually, well be able",https://twitter.com/uniquelusive/status/1253456267001069574,uniquelusive,417,323,"Oakville, Ontario",false
Thu Apr 23 22:50:37 +0000 2020,MadeInChinaVirus,0,1253456271249981440,en,569,1253452044842778626,CanArm2011,"RT @CanArm2011: Let's all act surprised  #MadeInChinaVirus

Canada: One million respirators acquired from China unfit for coronavirus figh",https://twitter.com/DemersNorman/status/1253456271249981440,DemersNorman,892,884,Montreal,false
Thu Apr 23 22:50:40 +0000 2020,MoscowMitch,0,1253456283296051200,en,245,1253183581083615232,PamKeithFL,"RT @PamKeithFL: Hey peeps, pay attention to THIS! Teachers,police officers, firefighters,municipal workers, elected officials, #MoscowMitch",https://twitter.com/prv87/status/1253456283296051200,prv87,1882,685,"Toronto,Ont,Canada",false
Thu Apr 23 22:50:40 +0000 2020,,0,1253456283677704195,en,454,1253447699791298560,DanielleMisiak,"RT @DanielleMisiak: trump just suggested injecting isopropyl alcohol into people with coronavirus, so thats enough science for the day",https://twitter.com/Bytowngal/status/1253456283677704195,Bytowngal,2156,3343,"Ontario, Canada",false
Thu Apr 23 22:50:49 +0000 2020,,0,1253456320960872448,en,439,1253415810824933382,TrinityResists,"RT @TrinityResists: Miami-Dade County had 1 MILLION N95 masks seized by FEMA.

Miami-Dades EM director on the shipment:

We were going to",https://twitter.com/CharmaxHutt/status/1253456320960872448,CharmaxHutt,3592,3655,"Brockville, Ontario",false
Thu Apr 23 23:07:55 +0000 2020,lufc,0,1253460624488660993,en,1,1253211009067565056,Greg_LUFC,RT @Greg_LUFC: Lockdown treat for myself #lufc https://t.co/9XGKTF1DiJ,https://twitter.com/FollowMeAndLUFC/status/1253460624488660993,FollowMeAndLUFC,12391,8541,"Halifax, England",false
Thu Apr 23 23:07:55 +0000 2020,,0,1253460625109520384,en,5570,1253435321846382593,funder,RT @funder: GOP consultant just told me Trump is trying to golf on Saturday at his Virginia course. Hes apparently going to try and use th,https://twitter.com/JasonGi76067699/status/1253460625109520384,JasonGi76067699,9,439,"Oakville, Ontario",false
Thu Apr 23 23:07:56 +0000 2020,,0,1253460628863242240,en,616,1253457584801054722,bennyjohnson,"RT @bennyjohnson: Trump asked about how Coronavirus might impact the election.

We have a sleepy guy in the basement of a house that the p",https://twitter.com/Janett18Janett/status/1253460628863242240,Janett18Janett,466,441,"Alberta, Canada",false
Thu Apr 23 23:08:07 +0000 2020,,0,1253460675160129539,en,4,1253449454461390848,AlertCalgarian,RT @AlertCalgarian: What a shocker. If they refuse work they should be disqualified for CERB. @CPC_HQ,https://twitter.com/Green_Acres55/status/1253460675160129539,Green_Acres55,165,244,"Winnipeg, Manitoba",false
Thu Apr 23 23:08:09 +0000 2020,cityofToronto,0,1253460683758473216,en,20,1253279740565368832,laveenamunshi,RT @laveenamunshi: Hey #cityofToronto... Every week I've noticed more and more cars on my drive to work. I never got the memo that we've st,https://twitter.com/nathanson_barry/status/1253460683758473216,nathanson_barry,57,119,"Toronto, Newmarket, Alliston ",false
Thu Apr 23 23:08:12 +0000 2020,,0,1253460695783440387,en,7670,1253458882325667840,JoeBiden,RT @JoeBiden: Donald Trump will always put his wealthy and well-connected friends first  that should come as no surprise. But to allow the,https://twitter.com/JasonGi76067699/status/1253460695783440387,JasonGi76067699,9,439,"Oakville, Ontario",false
Thu Apr 23 23:08:24 +0000 2020,,0,1253460745913802755,en,418,1253372666536505354,Gray_Mackenzie,"RT @Gray_Mackenzie: Dr. Tam is asked about CPC MP Derek Sloan calling on her to be fired.  

Dr. Tam says shes working 20 hours a day and",https://twitter.com/WriterWong/status/1253460745913802755,WriterWong,3995,202,Toronto,false
Thu Apr 23 23:08:23 +0000 2020,,0,1253460740587032578,en,29,1252192895194533893,skim23_,"RT @skim23_: Dr. Theresa Tam and Dr. Bonnie Henry are delivering 95 percent of the same content and messaging, yet one is being practicall",https://twitter.com/curiouschin/status/1253460740587032578,curiouschin,9,2426,"Toronto, Ontario",false
Thu Apr 23 23:08:34 +0000 2020,,0,1253460788431466496,en,1,1253460144542806016,HeidiAlpine,RT @HeidiAlpine: @IngrahamAngle Hello I called it!!!! https://t.co/Rjx1uI8YZq https://t.co/MprViHzBJ9,https://twitter.com/Cyril22222/status/1253460788431466496,Cyril22222,572,971,"Toronto, Ontario",false
Thu Apr 23 23:08:43 +0000 2020,,0,1253460825890750469,en,543,1253460240303087616,SachinNakrani,RT @SachinNakrani: CNN spelling out Donald Trumps suggestions for tackling coronavirus and then making it clear that under no circumstance,https://twitter.com/mymojoisrising/status/1253460825890750469,mymojoisrising,305,606,Ottawa,false
Thu Apr 23 23:08:48 +0000 2020,volunteers COVID IBD Webinar,0,1253460847197696001,en,4,1253460821813927938,getgutsycanada,"RT @getgutsycanada: We've come a long way since 1974... all thanks to our #volunteers.
#COVID-19 &amp; #IBD #Webinar  https://t.co/epzwi5dc3J",https://twitter.com/getgutsymb/status/1253460847197696001,getgutsymb,660,1462,"Manitoba, Canada",false
Thu Apr 23 23:08:51 +0000 2020,,0,1253460859608797184,en,83,1253458151564812289,thehill,"RT @thehill: ""The pandemic is reminding us that our belonging is conditional. One moment we are Americans, the next we are all foreigners,",https://twitter.com/tomcox60/status/1253460859608797184,tomcox60,674,1680,"Ontario, Canada",false
Thu Apr 23 23:08:54 +0000 2020,ParksAndRec COVID19,0,1253460872359563267,en,2899,1253458696983764999,Variety,"RT @Variety: The cast of #ParksAndRec is reuniting for a scripted, in-character special in aid of #COVID19 https://t.co/Ebht4YvmbF",https://twitter.com/paper_to_pixels/status/1253460872359563267,paper_to_pixels,129,773,"Ontario, Canada",false
Thu Apr 23 23:09:00 +0000 2020,,0,1253460897953124353,en,425,1253352627750031360,KenWestEsq,"RT @KenWestEsq: Trudeau, just now, asked to respond to calls for Tam to be fired because of her performance.

His answer?
""Don't be racist""",https://twitter.com/Rickforcanada/status/1253460897953124353,Rickforcanada,106,91,"Ontario, Canada",false
Thu Apr 23 23:09:03 +0000 2020,,0,1253460909638336512,en,100,1253455508012490753,CNN,RT @CNN: A major union of flight attendants wants federal officials to discourage or even prohibit leisure air travel due to the coronaviru,https://twitter.com/timdown/status/1253460909638336512,timdown,780,3495,"Kelowna, BC, Canada",false
Thu Apr 23 23:09:06 +0000 2020,,0,1253460921978171398,en,4463,1253233323754893313,gtconway3d,"RT @gtconway3d: Major catastrophes lay bare the truth about our leaders. Trumps criminally negligent, chaotic handling of the Covid-19 pa",https://twitter.com/superstokerdan/status/1253460921978171398,superstokerdan,914,2697,"Halifax, Nova Scotia, Canada",false
Thu Apr 23 23:09:06 +0000 2020,,0,1253460922284126210,en,24,1253347950761213952,ChemMater,"RT @ChemMater: ""Snapshots of Life: Early Career Materials Scientists Managing in the Midst of a Pandemic"" - thoughts from 18 early career r",https://twitter.com/QMI_UBC/status/1253460922284126210,QMI_UBC,368,678,"Vancouver, BC, Canada",false
Thu Apr 23 23:09:08 +0000 2020,Iran,0,1253460931859722240,en,21,1253427018655387655,PressTV,"RT @PressTV: #Iran provides cash handouts to nearly 17 million households

https://t.co/fCsoCooiC5",https://twitter.com/northsunm35/status/1253460931859722240,northsunm35,451,418,"Manitoba, Canada",false
